id_pesanan,tanggal,nama_produk,kategori,harga,jumlah,wilayah,modal,nilai_penjualan,untung
1085,2026-03-07,Buku Resep Masakan,Buku,57000.0,2,Medan,36000,114000.0,42000.0
1086,2026-03-26,Tas Ransel,Fashion,154000.0,5,Karawang,122000,770000.0,160000.0
1087,2026-03-28,Kopi Bubuk 200g,Makanan,50000.0,2,Surabaya,33000,100000.0,34000.0
1088,2026-02-01,Celana Jeans,Fashion,198000.0,1,Medan,139000,198000.0,59000.0
1089,2026-01-25,Matras Yoga,Olahraga,119000.0,5,Medan,86000,595000.0,165000.0
1090,2026-01-14,Buku Resep Masakan,Buku,55000.0,1,Medan,32000,55000.0,23000.0
1091,2026-03-01,Celana Jeans,Fashion,220000.0,5,Jakarta,132000,1100000.0,440000.0
1092,2026-02-28,Botol Minum Olahraga,Olahraga,40000.0,1,Bandung,25000,40000.0,15000.0
1093,2026-02-10,Notebook Polos,Buku,16000.0,5,Medan,9000,80000.0,35000.0
1094,2026-02-27,Skipping Rope,Olahraga,29000.0,5,Bandung,21000,145000.0,40000.0
1095,2026-03-23,Buku Resep Masakan,Buku,55000.0,2,Surabaya,46000,110000.0,18000.0
1096,2026-02-26,Raket Badminton,Olahraga,280000.0,3,Jakarta,168000,840000.0,336000.0
1097,2026-03-11,Keripik Singkong,Makanan,21000.0,3,Jakarta,13000,63000.0,24000.0
1098,2026-01-28,Celana Jeans,Fashion,200000.0,2,Jakarta,151000,400000.0,98000.0
1099,2026-02-23,Buku Resep Masakan,Buku,57000.0,4,Jakarta,40000,228000.0,68000.0
1100,2026-03-31,Topi,Fashion,44000.0,5,Jakarta,29000,220000.0,75000.0
1101,2026-02-08,Raket Badminton,Olahraga,273000.0,3,Medan,184000,819000.0,267000.0
1102,2026-03-19,Notebook Polos,Buku,15000.0,5,Bandung,9000,75000.0,30000.0
1103,2026-01-04,Buku Motivasi,Buku,69000.0,4,Medan,52000,276000.0,68000.0
1104,2026-01-22,Kacang Mete 100g,Makanan,41000.0,4,Medan,22000,164000.0,76000.0
1105,2026-03-17,Sepatu Sneakers,Fashion,351000.0,4,Karawang,262000,1404000.0,356000.0
1106,2026-03-01,Mouse,Elektronik,153000.0,2,Bandung,91000,306000.0,124000.0
1107,2026-02-28,Headset,Elektronik,245000.0,2,Surabaya,163000,490000.0,164000.0
1108,2026-02-02,Teh Celup Box,Makanan,24000.0,4,Jakarta,16000,96000.0,32000.0
1109,2026-02-14,Novel Fiksi,Buku,70000.0,1,Bandung,47000,70000.0,23000.0
1110,2026-02-01,Speaker Bluetooth,Elektronik,296000.0,1,Bandung,202000,296000.0,94000.0
1111,2026-03-02,Power Bank,Elektronik,169000.0,2,Jakarta,107000,338000.0,124000.0
1112,2026-02-17,Botol Minum Olahraga,Olahraga,37000.0,3,Bandung,29000,111000.0,24000.0
1113,2026-01-21,Skipping Rope,Olahraga,32000.0,1,Surabaya,16000,32000.0,16000.0
1114,2026-03-15,Power Bank,Elektronik,166000.0,3,Medan,143000,498000.0,69000.0
1115,2026-01-14,Buku Motivasi,Buku,67000.0,2,Surabaya,44000,134000.0,46000.0
1116,2026-01-06,Matras Yoga,Olahraga,125000.0,5,Surabaya,77000,625000.0,240000.0
1117,2026-03-06,Raket Badminton,Olahraga,282000.0,1,Surabaya,190000,282000.0,92000.0
1118,2026-02-25,Charger,Elektronik,89000.0,1,Surabaya,53000,89000.0,36000.0
1119,2026-03-25,Buku Motivasi,Buku,71000.0,5,Surabaya,52000,355000.0,95000.0
1120,2026-02-25,Skipping Rope,Olahraga,31000.0,4,Karawang,18000,124000.0,52000.0
1121,2026-02-05,Madu Hutan 250ml,Makanan,100000.0,1,Medan,69000,100000.0,31000.0
1122,2026-02-13,Topi,Fashion,45000.0,4,Jakarta,27000,180000.0,72000.0
1123,2026-02-15,Komik,Buku,42000.0,2,Surabaya,29000,84000.0,26000.0
1124,2026-03-13,Madu Hutan 250ml,Makanan,100000.0,3,Jakarta,65000,300000.0,105000.0
1125,2026-03-04,Botol Minum Olahraga,Olahraga,35000.0,4,Karawang,22000,140000.0,52000.0
1126,2026-02-27,Tas Ransel,Fashion,164000.0,4,Jakarta,130000,656000.0,136000.0
1127,2026-02-09,Headset,Elektronik,238000.0,2,Karawang,296000,476000.0,-116000.0
1128,2026-02-24,Teh Celup Box,Makanan,25000.0,3,Karawang,17000,75000.0,24000.0
1129,2026-02-09,Madu Hutan 250ml,Makanan,98000.0,3,Surabaya,75000,294000.0,69000.0
1130,2026-01-16,Kaos Polos,Fashion,77000.0,3,Karawang,44000,231000.0,99000.0
